semana,n_comentarios,deslegitimacion,ridiculizacion,construccion_amenaza,esencializacion,atribucion_oculta,ninguna
2025-08-04,105,0.41904761904761906,0.3047619047619048,0.10476190476190476,0.047619047619047616,0.009523809523809525,0.11428571428571428
2025-08-11,85,0.27058823529411763,0.3411764705882353,0.11764705882352941,0.058823529411764705,0.011764705882352941,0.2
2025-08-18,206,0.3883495145631068,0.2621359223300971,0.06310679611650485,0.06310679611650485,0.04854368932038835,0.17475728155339806
2025-08-25,148,0.4189189189189189,0.30405405405405406,0.060810810810810814,0.08108108108108109,0.033783783783783786,0.10135135135135136
2025-09-01,206,0.34951456310679613,0.2912621359223301,0.07281553398058252,0.06310679611650485,0.11165048543689321,0.11165048543689321
2025-09-08,281,0.3914590747330961,0.19572953736654805,0.09608540925266904,0.06405693950177936,0.03558718861209965,0.21708185053380782
2025-09-15,74,0.4864864864864865,0.12162162162162163,0.06756756756756757,0.14864864864864866,0.04054054054054054,0.13513513513513514
2025-09-22,131,0.2900763358778626,0.2366412213740458,0.15267175572519084,0.04580152671755725,0.07633587786259542,0.1984732824427481
2025-09-29,218,0.3486238532110092,0.26146788990825687,0.09174311926605505,0.0779816513761468,0.05045871559633028,0.16972477064220184
2025-10-06,241,0.3900414937759336,0.22406639004149378,0.1078838174273859,0.07883817427385892,0.058091286307053944,0.14107883817427386
2025-10-13,269,0.34944237918215615,0.3643122676579926,0.08921933085501858,0.03345724907063197,0.02973977695167286,0.13382899628252787
2025-10-20,598,0.34615384615384615,0.23578595317725753,0.11371237458193979,0.09698996655518395,0.051839464882943144,0.15551839464882944
2025-10-27,635,0.352755905511811,0.2440944881889764,0.10866141732283464,0.08031496062992126,0.05826771653543307,0.15590551181102363
2025-11-03,561,0.31194295900178254,0.3600713012477718,0.09090909090909091,0.05169340463458111,0.0481283422459893,0.13725490196078433
2025-11-10,1293,0.2985305491105955,0.26218097447795824,0.1368909512761021,0.09126063418406806,0.02320185614849188,0.18793503480278423
2025-11-17,1595,0.32727272727272727,0.2702194357366771,0.10470219435736677,0.07084639498432602,0.058307210031347964,0.16865203761755485
2025-11-24,854,0.35714285714285715,0.3044496487119438,0.09016393442622951,0.06908665105386416,0.05620608899297424,0.12295081967213115
2025-12-01,828,0.392512077294686,0.2777777777777778,0.12681159420289856,0.07729468599033816,0.018115942028985508,0.10748792270531402
2025-12-08,947,0.3020063357972545,0.31784582893347413,0.11404435058078141,0.05279831045406547,0.05279831045406547,0.16050686378035903
2025-12-15,675,0.31555555555555553,0.3037037037037037,0.13037037037037036,0.07703703703703704,0.045925925925925926,0.1274074074074074
2025-12-22,183,0.30601092896174864,0.32786885245901637,0.08196721311475409,0.08196721311475409,0.08196721311475409,0.12021857923497267
2026-01-19,66,0.3787878787878788,0.25757575757575757,0.06060606060606061,0.09090909090909091,0.045454545454545456,0.16666666666666666
